caseid,sex,total_children,age,age_at_first_birth,religion_importance,income_family,occupation,education,partner_education,partner_sex,region,pop_center,decade_first_birth,age_group,age_at_first_birth_group,child,education_level,partner_education_level
4651,Female,0,37.2,NA,Not at all important,"$100,000 to $ 124,999","Occupations in education, law and social, community and ...","College, CEGEP or other non-university certificate or di...","College, CEGEP or other non-university certificate or d...",Female,Atlantic region,Larger urban population centres (CMA/CA),NA,35,NA,0,College / Trade,College / Trade
4653,Female,0,73.2,NA,Somewhat important,"$50,000 to $74,999",NA,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","University certificate, diploma or degree above the ba...",No Partner,Atlantic region,Larger urban population centres (CMA/CA),NA,70,NA,0,University Undergraduate,University Graduate
4654,Female,3,67.3,22.2,Somewhat important,"$25,000 to $49,999",NA,High school diploma or a high school equivalency certificate,High school diploma or a high school equivalency certi...,No Partner,Prairie region,Rural areas and small population centres (non CMA/CA),1960,65,20,1,HS or less,HS or less
4657,Female,0,17.2,NA,Not at all important,"$100,000 to $ 124,999","Business, finance, and administration occupations",High school diploma or a high school equivalency certificate,NA,No Partner,Quebec,Rural areas and small population centres (non CMA/CA),NA,15,NA,0,HS or less,NA
4658,Female,2,62.8,18.8,Somewhat important,"$100,000 to $ 124,999",Sales and service occupations,High school diploma or a high school equivalency certificate,"College, CEGEP or other non-university certificate or d...",Male,Ontario,Larger urban population centres (CMA/CA),1960,60,15,1,HS or less,College / Trade
4660,Female,2,53.3,30.6,Somewhat important,"$100,000 to $ 124,999","Trades, transport and equipment operators and related oc...","College, CEGEP or other non-university certificate or di...",High school diploma or a high school equivalency certi...,No Partner,Atlantic region,Larger urban population centres (CMA/CA),1980,50,30,1,College / Trade,HS or less
4661,Female,4,70.6,18,Somewhat important,"$25,000 to $49,999",NA,"College, CEGEP or other non-university certificate or di...",NA,No Partner,Atlantic region,Prince Edward Island,NA,70,15,1,College / Trade,NA
4662,Female,1,32.4,29.1,Very important,"Less than $25,000",Sales and service occupations,"College, CEGEP or other non-university certificate or di...","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",No Partner,Ontario,Larger urban population centres (CMA/CA),2000,30,25,1,College / Trade,University Undergraduate
4663,Female,1,46.7,32.1,Somewhat important,"$75,000 to $99,999",Health occupations,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,No Partner,Atlantic region,Larger urban population centres (CMA/CA),1990,45,30,1,University Undergraduate,NA
4667,Female,4,41.3,NA,Somewhat important,"$75,000 to $99,999",Management occupations,"University certificate, diploma or degree above the bach...",High school diploma or a high school equivalency certi...,No Partner,Quebec,Larger urban population centres (CMA/CA),NA,40,NA,1,University Graduate,HS or less
4670,Female,2,52.4,23.3,Very important,"$75,000 to $99,999",Health occupations,High school diploma or a high school equivalency certificate,Less than high school diploma or its equivalent,Male,Atlantic region,Rural areas and small population centres (non CMA/CA),1970,50,20,1,HS or less,HS or less
4673,Female,2,60.4,18,Very important,"$100,000 to $ 124,999",Management occupations,University certificate or diploma below the bachelor's level,High school diploma or a high school equivalency certi...,Male,Atlantic region,Larger urban population centres (CMA/CA),1960,60,15,1,University Undergraduate,HS or less
4674,Female,0,56.6,NA,Somewhat important,"$50,000 to $74,999",NA,High school diploma or a high school equivalency certificate,"College, CEGEP or other non-university certificate or d...",Male,Atlantic region,Larger urban population centres (CMA/CA),NA,55,NA,0,HS or less,College / Trade
4675,Female,2,61.3,32.7,Very important,"$75,000 to $99,999",NA,"College, CEGEP or other non-university certificate or di...","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Male,Prairie region,Larger urban population centres (CMA/CA),1970,60,30,1,College / Trade,University Undergraduate
4677,Female,1,71.8,22.3,Very important,"Less than $25,000",NA,Less than high school diploma or its equivalent,NA,No Partner,British Columbia,Larger urban population centres (CMA/CA),NA,70,20,1,HS or less,NA
4678,Female,2,49.3,19.2,Somewhat important,"$125,000 and more",Health occupations,"College, CEGEP or other non-university certificate or di...",Less than high school diploma or its equivalent,Male,Prairie region,Rural areas and small population centres (non CMA/CA),1970,45,15,1,College / Trade,HS or less
4679,Female,2,52.9,25.9,Very important,"$125,000 and more","Occupations in education, law and social, community and ...","College, CEGEP or other non-university certificate or di...",Trade certificate or diploma,Male,Atlantic region,Prince Edward Island,1980,50,25,1,College / Trade,College / Trade
4680,Female,0,74.4,NA,Very important,"$50,000 to $74,999",NA,High school diploma or a high school equivalency certificate,NA,No Partner,Prairie region,Rural areas and small population centres (non CMA/CA),NA,70,NA,0,HS or less,NA
4681,Female,0,50,NA,Somewhat important,"$25,000 to $49,999","Occupations in education, law and social, community and ...","University certificate, diploma or degree above the bach...",NA,No Partner,Ontario,Larger urban population centres (CMA/CA),NA,50,NA,0,University Graduate,NA
4685,Female,2,39.2,34.2,Somewhat important,"$125,000 and more",Natural and applied sciences and related occupations,"University certificate, diploma or degree above the bach...",NA,Male,Ontario,Larger urban population centres (CMA/CA),2000,35,30,1,University Graduate,NA
4686,Female,2,51.5,36.8,Somewhat important,"$125,000 and more","Occupations in education, law and social, community and ...","College, CEGEP or other non-university certificate or di...","University certificate, diploma or degree above the ba...",Male,Quebec,Larger urban population centres (CMA/CA),1990,50,35,1,College / Trade,University Graduate
4690,Female,2,68.8,24.5,Somewhat important,"$75,000 to $99,999",NA,High school diploma or a high school equivalency certificate,"College, CEGEP or other non-university certificate or d...",Male,Ontario,Rural areas and small population centres (non CMA/CA),1960,65,20,1,HS or less,College / Trade
4691,Female,0,29.8,NA,Very important,"$25,000 to $49,999",NA,"University certificate, diploma or degree above the bach...","University certificate, diploma or degree above the ba...",Male,Prairie region,Larger urban population centres (CMA/CA),NA,25,NA,0,University Graduate,University Graduate
4692,Female,1,23.1,21.4,Somewhat important,"$25,000 to $49,999",Sales and service occupations,"College, CEGEP or other non-university certificate or di...","College, CEGEP or other non-university certificate or d...",No Partner,Atlantic region,Rural areas and small population centres (non CMA/CA),2000,20,20,1,College / Trade,College / Trade
4693,Female,5,38.3,24.2,Very important,"$75,000 to $99,999","Occupations in education, law and social, community and ...",High school diploma or a high school equivalency certificate,High school diploma or a high school equivalency certi...,Male,Ontario,Larger urban population centres (CMA/CA),1990,35,20,1,HS or less,HS or less
4698,Female,3,34.8,18.1,Not very important,"$125,000 and more",Sales and service occupations,High school diploma or a high school equivalency certificate,High school diploma or a high school equivalency certi...,Male,Prairie region,Larger urban population centres (CMA/CA),1990,30,15,1,HS or less,HS or less
4699,Female,3,68.1,NA,Very important,"$25,000 to $49,999",NA,High school diploma or a high school equivalency certificate,NA,No Partner,Prairie region,Larger urban population centres (CMA/CA),NA,65,NA,1,HS or less,NA
4701,Female,2,40,25.5,Very important,"$100,000 to $ 124,999",Management occupations,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Trade certificate or diploma,Male,Prairie region,Larger urban population centres (CMA/CA),1990,40,25,1,University Undergraduate,College / Trade
4703,Female,0,42.2,NA,Not very important,"Less than $25,000",NA,Less than high school diploma or its equivalent,NA,No Partner,Ontario,Rural areas and small population centres (non CMA/CA),NA,40,NA,0,HS or less,NA
4704,Female,0,60.3,NA,Not very important,"$75,000 to $99,999",NA,High school diploma or a high school equivalency certificate,High school diploma or a high school equivalency certi...,Male,Ontario,Larger urban population centres (CMA/CA),NA,60,NA,0,HS or less,HS or less
4709,Female,1,53.5,24.3,Very important,"Less than $25,000",NA,High school diploma or a high school equivalency certificate,NA,No Partner,Quebec,Rural areas and small population centres (non CMA/CA),1970,50,20,1,HS or less,NA
4713,Female,0,54.3,NA,Somewhat important,"Less than $25,000","Occupations in art, culture, recreation and sport","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,No Partner,Quebec,Larger urban population centres (CMA/CA),NA,50,NA,0,University Undergraduate,NA
4715,Female,0,34,NA,Don't know,"$25,000 to $49,999",Sales and service occupations,"College, CEGEP or other non-university certificate or di...",NA,No Partner,British Columbia,Larger urban population centres (CMA/CA),NA,30,NA,0,College / Trade,NA
4716,Female,1,59.9,21,Very important,"$125,000 and more",Management occupations,"University certificate, diploma or degree above the bach...","University certificate, diploma or degree above the ba...",Male,Ontario,Larger urban population centres (CMA/CA),1960,55,20,1,University Graduate,University Graduate
4723,Female,0,73.7,NA,Somewhat important,"$75,000 to $99,999",NA,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,No Partner,Quebec,Larger urban population centres (CMA/CA),NA,70,NA,0,University Undergraduate,NA
4724,Female,0,16.7,NA,Not at all important,"$125,000 and more",NA,Less than high school diploma or its equivalent,NA,No Partner,Quebec,Larger urban population centres (CMA/CA),NA,15,NA,0,HS or less,NA
4727,Female,0,57.9,NA,Very important,"$75,000 to $99,999",NA,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","College, CEGEP or other non-university certificate or d...",Male,Quebec,Larger urban population centres (CMA/CA),NA,55,NA,0,University Undergraduate,College / Trade
4728,Female,3,80,23.1,Somewhat important,"$25,000 to $49,999",NA,High school diploma or a high school equivalency certificate,NA,No Partner,Atlantic region,Prince Edward Island,NA,80,20,1,HS or less,NA
4729,Female,3,60.8,NA,Very important,"$75,000 to $99,999",NA,"University certificate, diploma or degree above the bach...","University certificate, diploma or degree above the ba...",Male,British Columbia,Rural areas and small population centres (non CMA/CA),NA,60,NA,1,University Graduate,University Graduate
4731,Female,2,77.3,24.8,Very important,"Less than $25,000",NA,Less than high school diploma or its equivalent,NA,No Partner,British Columbia,Larger urban population centres (CMA/CA),NA,75,20,1,HS or less,NA
4732,Female,2,80,25.5,Somewhat important,"Less than $25,000",NA,High school diploma or a high school equivalency certificate,NA,No Partner,Ontario,Larger urban population centres (CMA/CA),NA,80,25,1,HS or less,NA
4733,Female,0,67,NA,Not very important,"$125,000 and more","Business, finance, and administration occupations",High school diploma or a high school equivalency certificate,NA,No Partner,Quebec,Larger urban population centres (CMA/CA),NA,65,NA,0,HS or less,NA
4734,Female,0,47.8,NA,Somewhat important,"$100,000 to $ 124,999",Management occupations,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Less than high school diploma or its equivalent,Male,Atlantic region,Rural areas and small population centres (non CMA/CA),NA,45,NA,0,University Undergraduate,HS or less
4737,Female,2,68.2,26.3,Very important,"$25,000 to $49,999",NA,Less than high school diploma or its equivalent,Less than high school diploma or its equivalent,Male,Atlantic region,Rural areas and small population centres (non CMA/CA),1960,65,25,1,HS or less,HS or less
4738,Female,0,35.4,NA,Somewhat important,"Less than $25,000",NA,High school diploma or a high school equivalency certificate,NA,No Partner,Atlantic region,Rural areas and small population centres (non CMA/CA),NA,35,NA,0,HS or less,NA
4741,Female,0,20.8,NA,Very important,"$125,000 and more",NA,"College, CEGEP or other non-university certificate or di...",NA,No Partner,Prairie region,Larger urban population centres (CMA/CA),NA,20,NA,0,College / Trade,NA
4742,Female,2,30.2,21.5,Somewhat important,"$25,000 to $49,999",Sales and service occupations,High school diploma or a high school equivalency certificate,NA,No Partner,Atlantic region,Larger urban population centres (CMA/CA),1990,30,20,1,HS or less,NA
4749,Female,2,39.3,34.2,Not very important,"$100,000 to $ 124,999",NA,"University certificate, diploma or degree above the bach...","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Male,Ontario,Larger urban population centres (CMA/CA),2000,35,30,1,University Graduate,University Undergraduate
4751,Female,5,30.5,NA,Not very important,"$25,000 to $49,999",Sales and service occupations,High school diploma or a high school equivalency certificate,NA,Male,Prairie region,Larger urban population centres (CMA/CA),NA,30,NA,1,HS or less,NA
4753,Female,1,70.9,20.9,Very important,"$75,000 to $99,999",NA,"College, CEGEP or other non-university certificate or di...","College, CEGEP or other non-university certificate or d...",Male,Ontario,Rural areas and small population centres (non CMA/CA),NA,70,20,1,College / Trade,College / Trade
4755,Female,0,80,NA,Somewhat important,"Less than $25,000",NA,Less than high school diploma or its equivalent,NA,No Partner,Atlantic region,Rural areas and small population centres (non CMA/CA),NA,80,NA,0,HS or less,NA
4759,Female,0,49,NA,Very important,"Less than $25,000",Natural and applied sciences and related occupations,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,No Partner,British Columbia,Larger urban population centres (CMA/CA),NA,45,NA,0,University Undergraduate,NA
4760,Female,2,47,25.9,Not at all important,"$125,000 and more",NA,"College, CEGEP or other non-university certificate or di...","University certificate, diploma or degree above the ba...",Male,British Columbia,Larger urban population centres (CMA/CA),1980,45,25,1,College / Trade,University Graduate
4766,Female,0,70.5,NA,Very important,"$25,000 to $49,999",NA,Less than high school diploma or its equivalent,NA,No Partner,Atlantic region,Larger urban population centres (CMA/CA),NA,70,NA,0,HS or less,NA
4768,Female,4,72.3,24.1,Somewhat important,"$25,000 to $49,999",NA,"College, CEGEP or other non-university certificate or di...",Trade certificate or diploma,Male,Prairie region,Larger urban population centres (CMA/CA),NA,70,20,1,College / Trade,College / Trade
4769,Female,3,67.6,21.6,Very important,"$75,000 to $99,999",Management occupations,Less than high school diploma or its equivalent,Less than high school diploma or its equivalent,Male,Prairie region,Rural areas and small population centres (non CMA/CA),1960,65,20,1,HS or less,HS or less
4770,Female,1,30.4,30.4,Not at all important,"$100,000 to $ 124,999",Health occupations,"College, CEGEP or other non-university certificate or di...",Trade certificate or diploma,Male,Prairie region,Rural areas and small population centres (non CMA/CA),2000,30,30,1,College / Trade,College / Trade
4771,Female,2,63.2,31.5,Somewhat important,"$50,000 to $74,999",NA,University certificate or diploma below the bachelor's level,NA,No Partner,Atlantic region,Prince Edward Island,1970,60,30,1,University Undergraduate,NA
4772,Female,6,77.1,18,Very important,"Less than $25,000",NA,"College, CEGEP or other non-university certificate or di...",NA,No Partner,Ontario,Larger urban population centres (CMA/CA),NA,75,15,1,College / Trade,NA
4773,Female,2,64.8,24.5,Somewhat important,"$25,000 to $49,999",NA,"College, CEGEP or other non-university certificate or di...",NA,No Partner,Prairie region,Larger urban population centres (CMA/CA),1960,60,20,1,College / Trade,NA
4774,Female,5,78.3,19.3,Somewhat important,"Less than $25,000",NA,Less than high school diploma or its equivalent,NA,No Partner,Atlantic region,Larger urban population centres (CMA/CA),NA,75,15,1,HS or less,NA
4775,Female,2,69.7,24.2,Very important,"$50,000 to $74,999",NA,"College, CEGEP or other non-university certificate or di...",High school diploma or a high school equivalency certi...,Male,Ontario,Larger urban population centres (CMA/CA),1960,65,20,1,College / Trade,HS or less
4776,Female,2,62.2,22.8,Somewhat important,"$25,000 to $49,999","Occupations in education, law and social, community and ...",University certificate or diploma below the bachelor's level,High school diploma or a high school equivalency certi...,Male,Quebec,Larger urban population centres (CMA/CA),1960,60,20,1,University Undergraduate,HS or less
4777,Female,2,36.2,32.3,Not at all important,"$100,000 to $ 124,999","Occupations in education, law and social, community and ...","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","College, CEGEP or other non-university certificate or d...",Male,Ontario,Larger urban population centres (CMA/CA),2000,35,30,1,University Undergraduate,College / Trade
4781,Female,0,25.4,NA,Not at all important,"$25,000 to $49,999","Business, finance, and administration occupations",Less than high school diploma or its equivalent,NA,No Partner,Prairie region,Larger urban population centres (CMA/CA),NA,25,NA,0,HS or less,NA
4783,Female,1,57.1,24.3,Not very important,"$25,000 to $49,999",Sales and service occupations,Less than high school diploma or its equivalent,Less than high school diploma or its equivalent,Male,Quebec,Rural areas and small population centres (non CMA/CA),1970,55,20,1,HS or less,HS or less
4784,Female,3,51.8,21.9,Somewhat important,"$25,000 to $49,999","Occupations in education, law and social, community and ...","College, CEGEP or other non-university certificate or di...",NA,No Partner,Quebec,Rural areas and small population centres (non CMA/CA),1970,50,20,1,College / Trade,NA
4786,Female,2,45.6,32.1,Somewhat important,"$125,000 and more","Occupations in education, law and social, community and ...","University certificate, diploma or degree above the bach...","College, CEGEP or other non-university certificate or d...",Male,Ontario,Larger urban population centres (CMA/CA),1990,45,30,1,University Graduate,College / Trade
4787,Female,3,78.9,19.5,Very important,"Less than $25,000",NA,Less than high school diploma or its equivalent,NA,No Partner,Quebec,Larger urban population centres (CMA/CA),NA,75,15,1,HS or less,NA
4788,Female,2,60.3,28.4,Somewhat important,"$75,000 to $99,999",NA,"College, CEGEP or other non-university certificate or di...",High school diploma or a high school equivalency certi...,Male,Quebec,Rural areas and small population centres (non CMA/CA),1970,60,25,1,College / Trade,HS or less
4789,Female,1,42.5,27.8,Very important,"$100,000 to $ 124,999","Occupations in education, law and social, community and ...","College, CEGEP or other non-university certificate or di...","College, CEGEP or other non-university certificate or d...",Male,Atlantic region,Larger urban population centres (CMA/CA),1990,40,25,1,College / Trade,College / Trade
4792,Female,1,63.5,26.3,Somewhat important,"Less than $25,000",NA,Less than high school diploma or its equivalent,NA,No Partner,Prairie region,Rural areas and small population centres (non CMA/CA),1970,60,25,1,HS or less,NA
4793,Female,0,39.8,NA,Somewhat important,"$25,000 to $49,999",Sales and service occupations,High school diploma or a high school equivalency certificate,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Female,Atlantic region,Larger urban population centres (CMA/CA),NA,35,NA,0,HS or less,University Undergraduate
4796,Female,2,66.8,18,Very important,"Less than $25,000",NA,Less than high school diploma or its equivalent,NA,No Partner,Quebec,Larger urban population centres (CMA/CA),NA,65,15,1,HS or less,NA
4800,Female,2,42.4,34.8,Not very important,"$125,000 and more","Occupations in art, culture, recreation and sport","College, CEGEP or other non-university certificate or di...","University certificate, diploma or degree above the ba...",Male,Ontario,Larger urban population centres (CMA/CA),2000,40,30,1,College / Trade,University Graduate
4802,Female,2,57.8,23.4,Not very important,"Less than $25,000",NA,Less than high school diploma or its equivalent,NA,No Partner,Atlantic region,Rural areas and small population centres (non CMA/CA),1970,55,20,1,HS or less,NA
4803,Female,0,22.8,NA,Somewhat important,"$75,000 to $99,999",Management occupations,High school diploma or a high school equivalency certificate,High school diploma or a high school equivalency certi...,No Partner,Atlantic region,Larger urban population centres (CMA/CA),NA,20,NA,0,HS or less,HS or less
4805,Female,1,33.4,25.4,Not at all important,"$75,000 to $99,999",Health occupations,"College, CEGEP or other non-university certificate or di...",Trade certificate or diploma,Male,Quebec,Rural areas and small population centres (non CMA/CA),2000,30,25,1,College / Trade,College / Trade
4806,Female,2,52.6,18,Very important,"Less than $25,000",NA,"College, CEGEP or other non-university certificate or di...",NA,No Partner,Ontario,Rural areas and small population centres (non CMA/CA),1970,50,15,1,College / Trade,NA
4808,Female,2,30.9,25.2,Somewhat important,"$75,000 to $99,999",Sales and service occupations,"College, CEGEP or other non-university certificate or di...",Trade certificate or diploma,Male,Quebec,Rural areas and small population centres (non CMA/CA),2000,30,25,1,College / Trade,College / Trade
4809,Female,3,55.8,18,Very important,"$50,000 to $74,999","Business, finance, and administration occupations",High school diploma or a high school equivalency certificate,NA,No Partner,Prairie region,Larger urban population centres (CMA/CA),1970,55,15,1,HS or less,NA
4810,Female,1,48.4,35.1,Not very important,"$50,000 to $74,999","Business, finance, and administration occupations","College, CEGEP or other non-university certificate or di...",NA,No Partner,Quebec,Rural areas and small population centres (non CMA/CA),1990,45,35,1,College / Trade,NA
4811,Female,2,70.6,29.6,Somewhat important,"$25,000 to $49,999",NA,High school diploma or a high school equivalency certificate,NA,No Partner,Atlantic region,Rural areas and small population centres (non CMA/CA),1960,70,25,1,HS or less,NA
4816,Female,2,51.9,24,Somewhat important,"$125,000 and more","Business, finance, and administration occupations",Trade certificate or diploma,Trade certificate or diploma,Male,Quebec,Rural areas and small population centres (non CMA/CA),1980,50,20,1,College / Trade,College / Trade
4818,Female,7,54.3,18.8,Very important,"$25,000 to $49,999","Occupations in education, law and social, community and ...",University certificate or diploma below the bachelor's level,NA,No Partner,Prairie region,Rural areas and small population centres (non CMA/CA),1970,50,15,1,University Undergraduate,NA
4820,Female,0,62.2,NA,Not at all important,"Less than $25,000","Occupations in education, law and social, community and ...",Less than high school diploma or its equivalent,"University certificate, diploma or degree above the ba...",Female,Quebec,Larger urban population centres (CMA/CA),NA,60,NA,0,HS or less,University Graduate
4821,Female,1,41.1,28.3,Somewhat important,"$75,000 to $99,999","Occupations in education, law and social, community and ...","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,No Partner,Ontario,Larger urban population centres (CMA/CA),1990,40,25,1,University Undergraduate,NA
4822,Female,3,80,20.3,Very important,"$50,000 to $74,999",NA,High school diploma or a high school equivalency certificate,High school diploma or a high school equivalency certi...,Male,British Columbia,Larger urban population centres (CMA/CA),NA,80,20,1,HS or less,HS or less
4823,Female,5,79.7,21.3,Somewhat important,"Less than $25,000",NA,High school diploma or a high school equivalency certificate,NA,No Partner,Quebec,Larger urban population centres (CMA/CA),NA,75,20,1,HS or less,NA
4824,Female,2,71.8,31.7,Not very important,"$25,000 to $49,999","Occupations in art, culture, recreation and sport","University certificate, diploma or degree above the bach...",NA,No Partner,Atlantic region,Larger urban population centres (CMA/CA),1960,70,30,1,University Graduate,NA
4826,Female,1,65.6,34.3,Very important,"$125,000 and more",NA,High school diploma or a high school equivalency certificate,"College, CEGEP or other non-university certificate or d...",Male,Atlantic region,Larger urban population centres (CMA/CA),1970,65,30,1,HS or less,College / Trade
4829,Female,2,47.3,35.3,Not at all important,"$125,000 and more",Health occupations,"University certificate, diploma or degree above the bach...","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Male,Ontario,Larger urban population centres (CMA/CA),1990,45,35,1,University Graduate,University Undergraduate
4831,Female,2,55.7,21.2,Not at all important,"$75,000 to $99,999",Sales and service occupations,Less than high school diploma or its equivalent,Less than high school diploma or its equivalent,Male,Quebec,Rural areas and small population centres (non CMA/CA),1970,55,20,1,HS or less,HS or less
4832,Female,2,58.1,22.2,Very important,"$25,000 to $49,999",Health occupations,High school diploma or a high school equivalency certificate,NA,No Partner,Atlantic region,Larger urban population centres (CMA/CA),1970,55,20,1,HS or less,NA
4833,Female,3,64.8,25.9,Somewhat important,"$125,000 and more",NA,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Male,Ontario,Larger urban population centres (CMA/CA),1960,60,25,1,University Undergraduate,University Undergraduate
4834,Female,2,64,26.8,Very important,"$75,000 to $99,999",NA,"College, CEGEP or other non-university certificate or di...","College, CEGEP or other non-university certificate or d...",Male,Atlantic region,Larger urban population centres (CMA/CA),1970,60,25,1,College / Trade,College / Trade
4837,Female,2,65.9,26.7,Somewhat important,"$100,000 to $ 124,999",NA,University certificate or diploma below the bachelor's level,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Male,Atlantic region,Rural areas and small population centres (non CMA/CA),1960,65,25,1,University Undergraduate,University Undergraduate
4838,Female,0,22.3,NA,Not at all important,"$75,000 to $99,999",Sales and service occupations,"College, CEGEP or other non-university certificate or di...",High school diploma or a high school equivalency certi...,Male,British Columbia,Rural areas and small population centres (non CMA/CA),NA,20,NA,0,College / Trade,HS or less
4839,Female,0,34.7,NA,Somewhat important,"$125,000 and more","Occupations in education, law and social, community and ...","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","College, CEGEP or other non-university certificate or d...",Male,Quebec,Larger urban population centres (CMA/CA),NA,30,NA,0,University Undergraduate,College / Trade
4840,Female,2,53.2,19.2,Very important,"Less than $25,000",Sales and service occupations,"College, CEGEP or other non-university certificate or di...",NA,No Partner,British Columbia,Larger urban population centres (CMA/CA),1970,50,15,1,College / Trade,NA
4842,Female,2,70.5,21.5,Very important,"$25,000 to $49,999",NA,Less than high school diploma or its equivalent,NA,No Partner,Atlantic region,Larger urban population centres (CMA/CA),NA,70,20,1,HS or less,NA
4843,Female,1,36,21.1,Not very important,"Less than $25,000",NA,"College, CEGEP or other non-university certificate or di...",NA,No Partner,Ontario,Larger urban population centres (CMA/CA),1990,35,20,1,College / Trade,NA
4844,Female,1,32.8,24.5,Very important,"$25,000 to $49,999",Sales and service occupations,High school diploma or a high school equivalency certificate,NA,No Partner,Atlantic region,Rural areas and small population centres (non CMA/CA),1990,30,20,1,HS or less,NA
4845,Female,0,73.7,NA,Very important,"Less than $25,000",NA,University certificate or diploma below the bachelor's level,NA,No Partner,Atlantic region,Prince Edward Island,NA,70,NA,0,University Undergraduate,NA
4846,Female,3,72.8,21.9,Very important,"$100,000 to $ 124,999",NA,Less than high school diploma or its equivalent,Less than high school diploma or its equivalent,Male,Ontario,Larger urban population centres (CMA/CA),NA,70,20,1,HS or less,HS or less
4848,Female,1,25.5,23.5,Not at all important,"$25,000 to $49,999","Business, finance, and administration occupations",Trade certificate or diploma,NA,No Partner,Quebec,Larger urban population centres (CMA/CA),2000,25,20,1,College / Trade,NA
4850,Female,0,52.3,NA,Not very important,"$75,000 to $99,999","Occupations in education, law and social, community and ...",High school diploma or a high school equivalency certificate,NA,No Partner,Atlantic region,Larger urban population centres (CMA/CA),NA,50,NA,0,HS or less,NA
4854,Female,5,37.6,NA,Not at all important,"$25,000 to $49,999","Business, finance, and administration occupations",Trade certificate or diploma,NA,No Partner,Quebec,Rural areas and small population centres (non CMA/CA),NA,35,NA,1,College / Trade,NA
4858,Female,1,60.9,31.4,Not very important,"$75,000 to $99,999",Management occupations,University certificate or diploma below the bachelor's level,Trade certificate or diploma,Male,British Columbia,Rural areas and small population centres (non CMA/CA),1970,60,30,1,University Undergraduate,College / Trade
4859,Female,2,45.5,31,Very important,"$125,000 and more",NA,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","University certificate, diploma or degree above the ba...",Male,Prairie region,Larger urban population centres (CMA/CA),1990,45,30,1,University Undergraduate,University Graduate
4860,Female,1,40.2,28,Not at all important,"$50,000 to $74,999","Business, finance, and administration occupations",Trade certificate or diploma,NA,No Partner,Quebec,Larger urban population centres (CMA/CA),1990,40,25,1,College / Trade,NA
4862,Female,3,60.9,18,Not very important,"$50,000 to $74,999",Sales and service occupations,High school diploma or a high school equivalency certificate,NA,No Partner,Prairie region,Rural areas and small population centres (non CMA/CA),1960,60,15,1,HS or less,NA
4865,Female,4,67.1,NA,Not at all important,"$75,000 to $99,999",NA,"University certificate, diploma or degree above the bach...","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Male,Ontario,Larger urban population centres (CMA/CA),NA,65,NA,1,University Graduate,University Undergraduate
4867,Female,2,73.9,NA,Very important,"$125,000 and more",NA,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,No Partner,Prairie region,Rural areas and small population centres (non CMA/CA),NA,70,NA,1,University Undergraduate,NA
4868,Female,2,34.6,29.8,Not very important,"$100,000 to $ 124,999","Natural resources, agriculture and related production oc...","University certificate, diploma or degree above the bach...","College, CEGEP or other non-university certificate or d...",Male,Prairie region,Rural areas and small population centres (non CMA/CA),2000,30,25,1,University Graduate,College / Trade
4869,Female,2,50.8,27.7,Very important,"$125,000 and more",Sales and service occupations,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Male,Ontario,Larger urban population centres (CMA/CA),1980,50,25,1,University Undergraduate,University Undergraduate
4870,Female,5,74.9,18,Very important,"$50,000 to $74,999",NA,"College, CEGEP or other non-university certificate or di...",High school diploma or a high school equivalency certi...,Male,Prairie region,Larger urban population centres (CMA/CA),NA,70,15,1,College / Trade,HS or less
4874,Female,1,44.8,21.6,Somewhat important,"Less than $25,000",Sales and service occupations,Trade certificate or diploma,NA,No Partner,Quebec,Larger urban population centres (CMA/CA),1980,40,20,1,College / Trade,NA
4876,Female,0,37.7,NA,Very important,"$125,000 and more",Management occupations,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,No Partner,Ontario,Larger urban population centres (CMA/CA),NA,35,NA,0,University Undergraduate,NA
4880,Female,0,21.9,NA,Not at all important,"Less than $25,000",Sales and service occupations,High school diploma or a high school equivalency certificate,NA,No Partner,Prairie region,Larger urban population centres (CMA/CA),NA,20,NA,0,HS or less,NA
